University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
Georgia Southern University,https://www.georgiasouthern.edu,Statesboro,GA,Georgia,Public,Southeast (Deep South),,Town: Distant,20K+,Coeducational,No,Professional,Very High,Off-campus,0-None,$21.784,$11.350,$31.952,23-24,Merit,76,"28,8%",$11.107,$20.845,CDS24,$0.8m,N/A,OOS waiver,International Diversity Scholarship,https://admissions.georgiasouthern.edu/requirements/international/,A merit-based scholarship awarded to a limited number of new international students. No separate application needed; consideration is automatic with a completed admission application.,$7.144,$22.494,Requires application,"89,6%"
Georgia State University,https://www.gsu.edu,Atlanta,GA,Georgia,Public,Southeast (Deep South),,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$30.720,$16.002,$50.722,24-25,Merit,342,"31,5%",$3.285,$40.752,CDS24,$1.1m,N/A,Full ride+stipend,Stamps and Presidential Scholarships,https://honors.gsu.edu/scholars/,"GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.",$0,$2.000,Requires application,"52,5%"
Georgian Court University,https://www.georgian.edu,Lakewood,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,City: Small,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$37.110,$13.600,$54.710,24-25,Both,42,"78,9%",$39.192,$14.828,USN25,$1.6m,,,,,,,,-,71%
Gettysburg College,https://www.gettysburg.edu,Gettysburg,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$66.640,$16.110,$86.750,24-25,Both,266,"100,0%",$59.827,$23.933,CDS24,$15.9m,Yes (Need-aware),$44.000,Eisenhower Scholarship,https://www.gettysburg.edu/admissions-aid/financial-aid-options/scholarships,Gettysburg's most selective merit award for students with exceptional records in academics and community engagement. No separate application is required; consideration is automatic for all first-year applicants.,$22.640,$42.750,Automatic consideration,48%
Gonzaga University,https://www.gonzaga.edu,Spokane,WA,Washington,Private,West Coast,,City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$55.480,$15.730,$75.210,24-25,Both,156,"60,5%",$24.218,$48.362,CDS24,$3.8m,No,$25.000,First-Year Merit Scholarship,https://www.gonzaga.edu/undergraduate-admission/tuition-aid/scholarship-opportunities,All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate form is needed.,$30.480,$50.210,Automatic consideration,"76,0%"
Gordon College,https://www.gordon.edu,Wenham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,5-Very,$30.700,$13.300,$48.000,24-25,Both,149,"97,4%",$14.395,$30.355,CDS24,$2.1m,No,,,,,,TBD,-,"55,0%"
Goshen College,https://www.goshen.edu,Goshen,IN,Indiana,Private,Midwest (Great Lakes),,City: Small,<1K,Coeducational,No,Balanced,Very High,On-campus,4-Moderately,$38.890,$11.770,$54.660,24-25,Both,88,"100,0%",$30.369,$22.711,CDS24,$2.7m,N/A,,,,,,TBD,-,"88,9%"
Goucher College,https://www.goucher.edu,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$53.350,$17.190,$74.540,24-25,Both,17,"56,7%",$45.406,$26.494,CDS24,$0.8m,No,not specified,Merit Scholarship,https://www.goucher.edu/become/international-students/international-student-faq,All international applicants are automatically considered for merit-based scholarships. No separate application is required. Decisions are based on the strength of the admission application materials.,,,Automatic consideration,"74,6%"
Governors State University,https://www.govst.edu,University Park,IL,Illinois,Public,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Majority,Off-campus,0-None,$14.506,$10.360,$28.866,24-25,Merit,36,"100,0%",$27.766,-$1.586,USN25,,N/A,Full ride+stipend,Presidential Scholarship,https://www.govst.edu/presidential-scholarships/,A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview.,$0,$3.500,Requires application,48%
Grand Valley State University,https://www.gvsu.edu,Allendale,MI,Michigan,Public,Midwest (Great Lakes),,Town: Fringe,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$21.548,$11.410,$36.958,24-25,Merit,215,"86,7%",$8.564,$27.398,CDS24,$1.8m,N/A,,,,,,TBD,-,"94,7%"
Grinnell College,https://www.grinnell.edu,Grinnell,IA,Iowa,Private,Midwest (Great Plains),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$68.106,$16.842,$88.948,24-25,Both,219,"65,6%",$56.130,$28.610,CDS24,$12.3m,Yes (Need-aware),Demonstrated Need,,,,$0,,Automatic consideration,"14,5%"
Guilford College,https://www.guilford.edu,Greensboro,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$41.140,$12.900,$58.040,23-24,Merit,No data,,No data,,,,N/A,$27.000,Nathan Hunt Scholarship,https://www.guilford.edu/admissions/financial-aid/scholarships-and-grants,One of Guilford's top Merit Scholarships. All applicants for admission are automatically considered. No separate application is necessary.,$14.140,$31.040,Automatic consideration,84%
Gustavus Adolphus College,https://www.gustavus.edu,St. Peter,MN,Minnesota,Private,Midwest (Great Plains),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$54.310,$11.290,$69.600,23-24,Both,85,"96,6%",$37.139,$32.461,CDS24,$3.1m,No,$32.500,President Scholarship,https://gustavus.edu/admission/admissions/President'sScholarship.php,The college's most prestigious academic scholarship. Students must first be admitted to the college to be considered. Top applicants are invited to apply.,$21.810,$37.100,Automatic consideration,74%
Hamilton College,https://www.hamilton.edu,Clinton,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$68.960,$17.510,$90.470,24-25,Need,70,"45,5%",$72.792,$13.638,CDS24,$5.1m,Yes (Need-aware),,,,,,,,"11,8%"
Hampden-Sydney College,https://www.hsc.edu,Hampden-Sydne,VA,Virginia,Private,Southeast,,Rural: Distant,<1K,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$54.550,$16.732,$75.282,24-25,Merit,5,"95,1%",$61.577,$9.921,USN25,$0.1m,N/A,Full ride+stipend,Madison Scholarship,https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf,"A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.",$0,$2.000,By invitation only,50%
Hampton University,https://www.hamptonu.edu,Hampton,VA,Virginia,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,Yes,Professional,High,On-campus,1-Historically,$30.842,$14.308,$49.150,24-25,Both,16,"41,0%",$36.808,$9.340,USN25,$0.6m,,,,,,,,-,48%
Hanover College,https://www.hanover.edu,Hanover,IN,Indiana,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$44.288,$14.013,$62.301,24-25,Merit,38,"84,0%",$33.196,,USN25,$1.3m,N/A,Full ride+stipend,Spencer Scholarship for Engineering,https://www.hanover.edu/admission/financialaid/,This scholarship is for students in the dual-degree engineering program. Other Merit Scholarships are awarded automatically based on the admission application. No separate application is required for general merit awards.,$0,$3.000,Requires application,84%
Harding University,https://www.harding.edu,Searcy,AR,Arkansas,Private,South (Central),,Town: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,5-Very,$25.962,$9.060,$39.022,24-25,Merit,105,"57,7%",$13.769,$25.059,USN25,$1.4m,N/A,,,,,,,-,39%
Hartwick College,https://www.hartwick.edu,Oneonta,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Remote,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$54.962,$15.232,$74.194,24-25,Merit,15,"45,5%",$12.373,$59.123,CDS24,$0.2m,N/A,,,,,,TBD,-,70%
Harvard University,https://www.harvard.edu,Cambridge,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,$61.676,$21.190,$86.866,24-25,Need,711,"72,2%",$75.088,$8.362,CDS24,$53.4m,Yes (Need-blind),,,,,,,,"3,7%"
Harvey Mudd College,https://www.hmc.edu,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,$68.613,$22.318,$94.931,24-25,Both,30,"31,6%",$40.250,$51.715,CDS24,$1.2m,No,$10.000,Harvey S. Mudd and Esterbrook scholarships,https://www.hmc.edu/admission/afford/scholarships-and-grants/merit-based-scholarships/harvey-s-mudd-merit-award/,These are merit-based scholarships awarded to a select number of students. No separate application is required; recipients are selected based on their outstanding admission applications.,$58.613,$84.931,Automatic consideration,"13,1%"
Haverford College,https://www.haverford.edu,Haverford,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,$70.398,$19.170,$93.568,24-25,Need,56,"36,4%",$85.402,$5.498,CDS24,$4.8m,Yes (Need-aware),,,,,,,,"12,9%"
Hawaii Pacific University,https://www.hpu.edu,Honolulu,HI,Hawaii,Private,Hawaii,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$34.392,$21.050,$59.442,24-25,Merit,No data,,No data,,,,N/A,50% tuition,YouAreWelcomeHere Scholarship Scholarship,https://www.hpu.edu/undergraduate-admissions/international/scholarships.html,"A scholarship for incoming international students. Requires a separate application, including an essay, to be submitted after receiving an offer of admission.",$17.196,$42.246,Requires application,84%
Hendrix College,https://www.hendrix.edu,Conway,AR,Arkansas,Private,South (Central),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$38.200,$14.852,$57.052,24-25,Merit,14,"67,1%",$46.761,,USN25,$0.7m,N/A,$15.000,Hendrix College Academic Scholarships,https://www.hendrix.edu/financialaid/scholarships/,All applicants are automatically considered for merit-based academic scholarships upon admission. No separate application is required.,$23.200,$42.052,Automatic consideration,53%
High Point University,https://www.highpoint.edu,High Point,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$44.208,$18.462,$66.670,23-24,None,No data,,No data,,,,N/A,not specified,Merit Scholarship,https://www.highpoint.edu/admissions/international-students/,A student's application for admission is also their application for merit-based scholarships. No separate application is required. Awards are based on academic achievement.,,,,77%
Hillsdale College,https://www.hillsdale.edu,Hillsdale,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$33.189,$13.600,$50.789,24-25,Both,30,"100,0%",$36.550,$12.722,USN25,$1.1m,No,Full Tuition,Merit Scholarship and Leadership Scholarship,https://www.hillsdale.edu/admissions-aid/financial-aid/scholarships/,"The college offers hundreds of privately funded scholarships based on academic merit, leadership, and other talents. Consideration is automatic with the admission application.",$0,$17.600,Automatic consideration,21%
Hiram College,https://www.hiram.edu,Hiram,OH,Ohio,Private,Midwest (Great Lakes),,Rural: Distant,1K - 9K,Coeducational,No,Professional,Very High,On-campus,1-Historically,$27.600,$11.850,$43.450,24-25,Merit,5,"63,6%",$14.440,,USN25,$0.1m,N/A,$10.000,International Global Scholarship,https://www.hiram.edu/admissions-aid/student-financial-services/applying-for-financial-aid/types-of-financial-aid/scholarships-and-grants/,Admitted international students are Automatically Awardarded the Global Scholarship. No separate application is required. The award is renewable for four years.,$17.600,$33.450,Automatic consideration,93%
Hobart & William Smith Colleges,https://www.hws.edu,Geneva,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$64.842,$17.768,$86.610,24-25,Merit,114,"99,1%",$55.218,$29.384,CDS24,$6.3m,Yes (Need-aware),$40.000,Unspecified,https://www.hws.edu/admissions/tuition-scholarships-and-aid/merit-based-awards.aspx,"All applicants are automatically considered for Merit Scholarships (e.g., Trustee, Blackwell) at the time of admission. Some specific awards, like the Centennial Center Leadership Scholarship, require a separate application after admission.",$24.842,$46.610,Automatic consideration,"56,9%"
Hofstra University,https://www.hofstra.edu,Hempstead,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,0-None,$57.660,$18.942,$80.602,24-25,Merit,178,"79,1%",$30.997,$46.173,CDS24,$5.5m,N/A,$28.000,Presidential Scholarship,https://www.hofstra.edu/admission/scholarship-opportunities.html,The Presidential Scholarship is the highest merit award. All first-year applicants are automatically considered based on their admission application. No separate application is needed.,$29.660,$52.602,Automatic consideration,"70,6%"
Hollins University,https://www.hollins.edu,Hollins,VA,Virginia,Private,Southeast,,Suburb: Midsize,<1K,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,$42.260,$15.800,$62.060,24-25,Merit,42,"100,0%",$36.926,$24.294,CDS24,$1.6m,N/A,,,,,,TBD,-,"70,9%"
Hood College,https://www.hood.edu,Frederick,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Small,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$47.700,$16.200,$67.900,24-25,Both,11,"91,0%",$36.674,$27.446,USN25,,,,,,,,,-,78%
Hope College,https://www.hope.edu,Holland,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,4-Moderately,$38.530,$12.450,$54.980,24-25,Merit,55,"64,7%",$27.064,$26.786,CDS24,$1.5m,N/A,$25.000,Trustee Scholarship,https://hope.edu/admissions/scholarships.html,"All international applicants are automatically considered for a merit-based scholarship upon admission. The primary considerations are academic performance, personal statement, activities, and leadership.",$13.530,$29.980,Automatic consideration,76%
Howard University,https://www.howard.edu,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,10K - 20K,Coeducational,Yes,Balanced,Majority,On-campus,1-Historically,$35.810,$17.322,$57.132,24-25,Both,456,"91,3%",$25.047,$28.771,CDS24,$11.4m,No,,,,,,TBD,-,35%
Hult International Business School,https://www.hult.edu,Cambridge,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Professional,Minority,Off-campus,0-None,$56.200,$19.400,$74.200,23-24,Pending,No data,,No data,,,,,,,,,,,-,54%
Idaho State University,https://www.isu.edu,Pocatello,ID,Idaho,Public,West (Rocky Mountains),,City: Small,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$27.720,$6.300,$39.092,23-24,Merit,48,"34,8%",$9.261,$29.831,CDS24,$0.4m,N/A,OOS waiver,Non-Resident Tuition Waivers,https://www.isu.edu/scholarships/non-resident-tuition-waivers-/#d.en.31488,"A limited number of tuition waivers that reduce tuition to the in-state rate are available for international students. Awarded on a competitive, first-come, first-served basis, typically requiring a high GPA (3.5+).",$8.610,$18.910,Automatic consideration,99%
Illinois Institute of Technology,https://www.iit.edu,Chicago,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$52.386,$17.356,$73.742,24-25,Both,392,"94,7%",$25.131,$47.160,CDS24,$9.9m,No,Full Tuition,M. A. and Lila Self Leadership Academy Scholarship,https://www.iit.edu/admissions-aid/tuition-and-aid/scholarships/international-undergraduate-student-scholarships,"This is a premier scholarship program. Students are automatically reviewed for most institutional scholarships, including this one, upon application. Some top awards, like the Camras Scholarship, may require an interview.",$0,$21.356,Requires application,"55,4%"
Illinois State University,https://www.illinoisstate.edu,Normal,IL,Illinois,Public,Midwest (Great Lakes),"Chicago, IL",Suburb: Midsize,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$27.524,$11.026,$42.550,24-25,Merit,83,"59,7%",$16.443,$26.152,CDS24,$1.4m,N/A,$5.000,International Student Scholarships,https://illinoisstate.edu/admissions/international/,The university offers various scholarships for international students. New students are automatically considered for the International Student Merit Scholarship upon admission based on GPA. No separate application required.,$22.524,$37.550,Automatic consideration,89%
Illinois Wesleyan University,https://www.iwu.edu,Bloomington,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Small,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,$57.704,$13.370,$75.074,24-25,Both,99,"100,0%",$40.342,$32.292,CDS24,$4.0m,No,Full Tuition,President’s Scholarship,https://www.iwu.edu/international/scholarships.html,Two full-tuition scholarships are awarded to highly qualified first-year international students. Consideration is automatic with the admission application.,$0,$17.370,Automatic consideration,45%
Indiana State University,https://www.indstate.edu,Terre Haute,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,5K - 10K,Coeducational,No,Professional,High,Off-campus,0-None,$22.322,$11.794,$38.116,24-25,Merit,,,,,,,N/A,$5.000,President Scholarship,https://www.indstate.edu/scholarships/freshman/international,"This is the premier scholarship for out-of-state students. Requires a separate application, and finalists must attend an on-campus interview. Open to international students.",$17.322,$33.116,Automatic consideration,"91,5%"
Indiana University east,https://www.iue.edu,Richmond,IN,Indiana,Public,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,0-None,$22.811,$10.972,$37.783,24-25,Merit,21,"45,7%",$10.330,$30.713,CDS24,$0.2m,N/A,,,,,,TBD,-,"71,2%"
Indiana University-Bloomington,https://www.indiana.edu,Bloomington,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$41.891,$13.984,$59.875,24-25,Merit,689,"39,6%",$12.521,$45.341,CDS24,$8.6m,N/A,Full ride,Wells Scholarship,https://wellsscholars.indiana.edu/nomination-process/international-high-school-seniors.html,A prestigious full-cost-of-attendance scholarship. International students must be nominated by their high school. Students can also be considered for nomination by the Office of International Services after applying for admission.,$0,$4.000,Requires nomination,"80,4%"
Iona University,https://www.iona.edu,New Rochelle,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$47.260,$18.820,$70.080,24-25,Merit,76,"86,6%",$45.654,,USN25,$3.5m,N/A,$25.000,President Scholarship,https://www.iona.edu/offices/student-financial-services/types-aid/scholarships-and-grants/iona-university-awards,This is the highest merit-based scholarship. Students are automatically considered with their application for admission. No separate scholarship application is necessary.,$22.260,$45.080,Automatic consideration,91%
Iowa State University,https://www.iastate.edu,Ames,IA,Iowa,Public,Midwest (Great Plains),,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$28.881,$10.808,$43.689,24-25,Merit,293,"35,5%",$12.483,$28.926,CDS24,$3.7m,N/A,$10.000,International Merit Scholarship Award of Achievement,https://www.iastate.edu/admission-and-aid/admissions/international-admissions/international-merit-scholarships,The top tier of international merit awards. Requires completing the Oneapp scholarship application after being admitted. Selection is competitive and based on a holistic review of academics and test scores.,$18.881,$33.689,Automatic consideration,"89,1%"
Ithaca College,https://www.ithaca.edu,Ithaca,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Small,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$52.155,$16.192,$72.347,24-25,Both,129,"98,5%",$46.885,$23.215,CDS24,$6.0m,No,$7.000,Leadership Scholar Program,https://www.ithaca.edu/tuition-financial-aid/financial-aid-basics/scholarships/ithaca-scholarships-new-students,A specific scholarship for students with a demonstrated record of leadership. Requires a separate application in addition to the admission application. Other Merit Scholarships are awarded automatically.,$45.155,$65.347,Requires application,"69,9%"
Jackson State University,https://www.jsums.edu,Jackson,MS,Mississippi,Public,Southeast (Deep South),,Suburb: Large,5K - 10K,Coeducational,Yes,Balanced,High,On-campus,1-Historically,$10.795,$11.066,$25.861,24-25,Merit,74,"100,0%",$9.303,$16.589,USN25,,N/A,Full ride+stipend,Presidential Scholarship,https://www.jsums.edu/recruitment/jsu-scholarship-info-recruitment/,The premier scholarship covering full costs. Requires a high GPA and ACT/SAT score. Consideration is automatic with the admission application.,$0,$3.250,Automatic consideration,91%
Jacksonville University,https://www.ju.edu,Jacksonville,FL,Florida,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,1-Historically,$47.830,$17.210,$69.040,24-25,Both,106,"79,1%",$43.701,$22.879,CDS24,$4.6m,No,not specified,Merit Scholarship,https://www.ju.edu/international/admissions/frequently-asked-questions-f1.php,All admitted first-year international students are Automatically Awardarded a Merit Scholarship upon acceptance. The amount is determined by the Office of Admissions based on academic performance.,,,Automatic consideration,57%
James Madison University,https://www.jmu.edu,Harrisonburg,VA,Virginia,Public,Southeast,,City: Small,20K+,Coeducational,No,Balanced,Very High,On-campus,0-None,$31.264,$12.916,$48.180,24-25,Merit,85,"58,6%",$20.835,$26.539,CDS24,$1.8m,N/A,$14.000,Dingledine-Bluestone Scholarship,https://www.jmu.edu/admissions/apply/scholarships/dingledine-bluestone.shtml,A scholarship for students from Virginia who have overcome adversity. This scholarship is not intended for international students.,$17.264,$34.180,Requires application,76%
John Brown University,https://www.jbu.edu,Siloam Springs,AR,Arkansas,Private,South (Central),,Town: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,5-Very,$31.756,$10.472,$46.228,24-25,Both,128,"73,8%",$30.886,$14.204,USN25,$4.0m,,,,,,,,-,72%
John Carroll University,https://www.jcu.edu,University Heigh,OH,Ohio,Private,Midwest (Great Lakes),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$50.500,$14.520,$69.020,24-25,Both,16,"45,7%",$31.552,$35.708,CDS24,$0.5m,No,$25.000,Magis Scholarship,https://www.jcu.edu/sefs/financing-jcu-education/new-first-year-sefs/new-first-year-student-scholarships-sefs,The premier merit-based scholarship. All applicants are automatically considered upon admission. No separate application is required.,$25.500,$44.020,Automatic consideration,"81,1%"
Johns Hopkins University,https://www.jhu.edu,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,$65.230,$20.150,$89.380,24-25,Both,598,"70,6%",$12.136,$75.114,CDS24,$7.3m,Yes (Need-aware),Full Tuition,Charles R. Westgate Scholarship in Engineering,https://apply.jhu.edu/tuition-aid/types-of-financial-aid/need-based-scholarships/westgate-scholarship/,A full-tuition Merit Scholarship for up to two undergraduate engineering students. No separate application is needed; consideration is automatic for all first-year engineering applicants.,$0,$24.150,Automatic consideration,"6,2%"
Juniata College,https://www.juniata.edu,Huntington,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$58.580,$14.100,$76.680,24-25,Merit,103,"93,6%",$37.743,$36.205,CDS24,$4.0m,N/A,$25.000,Juniata Provost Scholarship,https://www.juniata.edu/academics/departments/international/international-students/financial-aid.php,This is a top merit-based scholarship for international students. Consideration is automatic when an international student applies for admission. No separate application is required.,$33.580,$51.680,Requires application,72%
Kalamazoo College,https://www.kzoo.edu,Kalamazoo,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$60.900,$12.549,$77.449,24-25,Both,45,"86,5%",$51.121,$22.833,USN25,$2.3m,No,$44.000,Lux Esto Scholarship,https://admission.kzoo.edu/cost-value/,The premier Merit Scholarship. Awarded to top applicants based on their admission application. No separate application is required. Finalists are invited to a scholarship competition.,$16.900,$33.449,Automatic consideration,76%
Kansas State University,https://www.k-state.edu,Manhattan,KS,Kansas,Public,Midwest (Great Plains),,City: Small,10K - 20K,Coeducational,No,Professional,High,Off-campus,0-None,$28.568,$11.270,$43.838,24-25,Merit,43,"17,4%",$5.163,$38.673,CDS24,$0.2m,N/A,not specified,William L. Richter International Scholarship,https://www.k-state.edu/isss/resources/scholarships_kstate.html,An award for international undergraduate students with high academic standing. Requires a separate application through the university's scholarship portal.,,,Requires application,"99,8%"
Kennesaw State University,https://www.kennesaw.edu,Kennesaw,GA,Georgia,Public,Southeast (Deep South),,Suburb: Large,20K+,Coeducational,No,Professional,Very High,On-campus,0-None,$21.858,$13.287,$34.067,23-24,Merit,,,,,,,N/A,OOS waiver,International Student Scholarships,https://radow.kennesaw.edu/gradstudents/financial/for_intl.php,The provided link is for graduate students in a specific college. General university scholarships for undergraduates may be available through the university's scholarship portal.,$6.948,$24.235,Requires application,69%
Kent State University,https://www.kent.edu,Kent,OH,Ohio,Public,Midwest (Great Lakes),,Suburb: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$23.082,$13.794,$40.876,24-25,Merit,302,"49,1%",$9.935,$29.421,CDS24,$3.0m,N/A,$15.000,Global Scholarship,https://www.kent.edu/admissions/international-students-scholarship-resources,Awarded automatically to eligible new international freshmen based on their cumulative high school GPA. No separate scholarship application is required.,$8.082,$25.876,Automatic consideration,"86,6%"
Kentucky State University,https://www.kysu.edu,Frankfort,KY,Kentucky,Public,Southeast,,Town: Distant,1K - 9K,Coeducational,Yes,Balanced,Very High,On-campus,0-None,$13.260,$8.186,$25.446,23-24,Merit,6,"54,5%",$8.717,$16.729,CDS24,$0.1m,N/A,,,,,,,,"92,5%"
Kenyon College,https://www.kenyon.edu,Gambier,OH,Ohio,Private,Midwest (Great Lakes),,Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$71.520,$15.640,$91.160,24-25,Both,135,"66,2%",$67.500,$20.240,CDS24,$9.1m,Yes (Need-aware),$25.000,Kenyon Honor and Science Scholarships,https://www.kenyon.edu/admissions-aid/financial-aid-scholarships/scholarships-grants/,These are premier merit-based scholarships. All students who apply for admission are automatically considered. No separate application is needed.,$46.520,$66.160,Automatic consideration,31%
Kettering University,https://www.kettering.edu,Flint,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$48.470,$10.400,$62.870,24-25,Merit,32,"95,4%",$25.237,,USN25,$0.8m,N/A,$24.000,Merit Scholarship,https://www.kettering.edu/admissions/financial-aid/financial-aid-101/scholarships,"All admitted students, including international students, are automatically considered for merit-based scholarships based on their high school GPA. No separate application is needed.",$24.470,$38.870,,79%
King University,https://www.king.edu,Bristol,TN,Tennessee,Private,Southeast,,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,4-Moderately,$34.800,$9.960,$48.760,23-24,Pending,No data,,No data,,,,,,,,,,,-,61%
