University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Franklin & Marshall College,Lancaster,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$70.794,$16.188,$90.982,Both,150,46%,$60.200,$27.748,$9.0m,Yes (Need-aware),$35.000,F&M Merit Scholarship,https://www.fandm.edu/scholarships/,All applicants for admission are automatically considered for all of F&M's merit-based scholarships. No separate application is required.,$35.794,$55.982,Automatic consideration,32%,,19%,-,,-,-,"31,1%",Early Decision only,Yes,early_admission
Furman University,Greenville,SC,South Carolina,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$5.000,$59.770,$16.504,$80.274,Merit,109,96%,$59.603,$18.577,$6.5m,N/A,Full ride,James B. Duke and Joseph A. Vaughn,https://www.furman.edu/financial-aid/aid-types/merit-based-scholarships/,These are premier Merit Scholarships. No separate application is required. Top applicants are automatically identified for consideration through the admission application review process.,$0,$4.000,Requires application,"52,6%","9,6%",14%,25%,1694,162,40,"30,3%",Both,Yes,early_admission
George Fox University,Newberg,OR,Oregon,Private,West Coast,,Town: Fringe,1K - 9K,Coeducational,No,Professional,Majority,Off-campus,5-Very,$45.000,$42.750,$14.060,$60.810,Merit,22,FLAG,$17.572,,,N/A,$23.000,Academic Scholarships,https://www.georgefox.edu/college-admissions/scholarships/index.html,"All applicants are automatically considered for merit-based scholarships (such as the President's, Provost's, and Dean's scholarships) upon admission. No separate application is necessary.",$19.750,$37.810,Automatic consideration,96%,,17%,,,,,94%,Early Action Only,,early_admission
George Mason University,Fairfax,VA,Virginia,Public,Southeast,"Washington, DC",Suburb: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$38.688,$15.776,$58.464,Merit,619,48%,$10.429,$46.701,$6.5m,N/A,50% tuition,YouAreWelcomeHere Scholarship,https://www.gmu.edu/financial-aid/types-aid/scholarships,"This is a renewable scholarship for first-year international students. It requires a separate application, including an essay or video, after being admitted to GMU.",$19.344,$39.120,Requires application,"88,8%",,22%,-,,-,198,"88,5%",Early Action Only,,early_admission
George Washington University,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,20K+,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$25.000,$67.710,$16.920,$88.630,Both,130,16%,$33.776,$51.514,$4.4m,No,Full Tuition,YouAreWelcomeHere Scholarship,https://undergraduate.admissions.gwu.edu/international-student-aid,A scholarship for international students dedicated to advancing intercultural learning. Requires a separate scholarship application to be submitted after the admission application.,$0,$20.920,Requires application,"43,5%","36,0%",22%,17%,3541,1275,219,"42,6%",Early Decision only,Yes,early_admission
Georgetown University,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,4-Moderately,$5.000,$68.016,$21.684,$93.700,Need,40,4%,$85.795,$3.036,$3.4m,No,,,,,,,,"12,0%","8,0%",48%,52%,3255,262,136,14%,REarly Action Only,,early_admission
Georgia Institute of Technology (Georgia Tech),Atlanta,GA,Georgia,Public,Southeast (Deep South),,City: Large,20K+,Coeducational,No,Professional,Majority,On-campus,0-None,$5.000,$34.484,$16.200,$54.684,Limited,,,,$49.636,,N/A,Full ride,Stamps President Scholarship,https://stampsps.gatech.edu/apply/frequently-asked-questions,Georgia Tech's most prestigious scholarship program. early Action applicants are prioritized for consideration. No separate application is needed; candidates are identified from the applicant pool.,$0,$4.000,By invitation only,"13,8%","9,9%",44%,41%,8392,835,340,"17,5%",Early Action Only,,early_admission
Georgia State University,Atlanta,GA,Georgia,Public,Southeast (Deep South),,City: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$5.000,$30.720,$16.002,$50.722,Merit,342,32%,$3.285,$40.752,$1.1m,N/A,Full ride+stipend,Stamps and Presidential Scholarships,https://honors.gsu.edu/scholars/,"GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.",$0,$2.000,Requires application,"52,5%","49,6%",25%,17%,2695,1338,231,52%,Early Decision only,,early_admission
Gettysburg College,Gettysburg,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$0,$66.640,$16.110,$86.750,Both,266,100%,$59.827,$23.933,$15.9m,Yes (Need-aware),$44.000,Eisenhower Scholarship,https://www.gettysburg.edu/admissions-aid/financial-aid-options/scholarships,Gettysburg's most selective merit award for students with exceptional records in academics and community engagement. No separate application is required; consideration is automatic for all first-year applicants.,$22.640,$42.750,Automatic consideration,48%,,18%,-,,-,-,49%,Both,,early_admission
Gonzaga University,Spokane,WA,Washington,Private,West Coast,,City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$55.000,$55.480,$15.730,$75.210,Both,156,60%,$24.218,$48.362,$3.8m,No,$25.000,First-Year Merit Scholarship,https://www.gonzaga.edu/undergraduate-admission/tuition-aid/scholarship-opportunities,All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate form is needed.,$30.480,$50.210,Automatic consideration,"76,0%","51,9%",17%,24%,368,191,45,76%,Early Action Only,,early_admission
Gordon College,Wenham,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,5-Very,$35.000,$30.700,$13.300,$48.000,Both,149,97%,$14.395,$30.355,$2.1m,No,,,,,,TBD,-,"55,0%","80,6%",22%,18%,170,137,25,40%,Early Action Only,,early_admission
Goucher College,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Small,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$30.000,$53.350,$17.190,$74.540,Both,17,57%,$45.406,$26.494,$0.8m,No,not specified,Merit Scholarship,https://www.goucher.edu/become/international-students/international-student-faq,All international applicants are automatically considered for merit-based scholarships. No separate application is required. Decisions are based on the strength of the admission application materials.,,,Automatic consideration,"74,6%","43,6%",11%,11%,564,246,26,"67,0%",Early Action Only,,early_admission
Governors State University,University Park,IL,Illinois,Public,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Majority,Off-campus,0-None,$0,$14.506,$10.360,$28.866,Merit,36,100%,$27.766,-$1.586,,N/A,Full ride+stipend,Presidential Scholarship,https://www.govst.edu/presidential-scholarships/,A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview.,$0,$3.500,Requires application,48%,,,,,,,,Early Decision only,,early_admission
Grinnell College,Grinnell,IA,Iowa,Private,Midwest (Great Plains),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$68.106,$16.842,$88.948,Both,219,66%,$56.130,$28.610,$12.3m,Yes (Need-aware),Demonstrated Need,,,,$0,,Automatic consideration,"14,5%",,36%,-,,-,,10%,Early Decision only,Yes,early_admission
Hamilton College,Clinton,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$68.960,$17.510,$90.470,Need,70,45%,$72.792,$13.638,$5.1m,Yes (Need-aware),,,,,,,,"11,8%","2,2%",41%,50%,3516,78,39,"10,1%",Early Decision only,Yes,early_admission
Hampden-Sydney College,Hampden-Sydne,VA,Virginia,Private,Southeast,,Rural: Distant,<1K,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$10.000,$54.550,$16.732,$75.282,Merit,5,95%,$61.577,$9.921,$0.1m,N/A,Full ride+stipend,Madison Scholarship,https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf,"A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.",$0,$2.000,By invitation only,50%,37%,22%,-,,-,,,Both,,early_admission
Hampton University,Hampton,VA,Virginia,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,Yes,Professional,High,On-campus,1-Historically,$10.000,$30.842,$14.308,$49.150,Both,16,41%,$36.808,$9.340,$0.6m,,,,,,,,-,48%,11%,21%,-,,-,,,Both,,early_admission
Hanover College,Hanover,IN,Indiana,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$5.000,$44.288,$14.013,$62.301,Merit,38,84%,$33.196,,$1.3m,N/A,Full ride+stipend,Spencer Scholarship for Engineering,https://www.hanover.edu/admission/financialaid/,This scholarship is for students in the dual-degree engineering program. Other Merit Scholarships are awarded automatically based on the admission application. No separate application is required for general merit awards.,$0,$3.000,Requires application,84%,,12%,-,,-,,84%,Both,,early_admission
Harding University,Searcy,AR,Arkansas,Private,South (Central),,Town: Distant,1K - 9K,Coeducational,No,Professional,High,On-campus,5-Very,$30.000,$25.962,$9.060,$39.022,Merit,105,58%,$13.769,$25.059,$1.4m,N/A,,,,,,,-,39%,,100%,-,,-,,39%,Early Decision only,,early_admission
Hartwick College,Oneonta,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Remote,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$65.000,$54.962,$15.232,$74.194,Merit,15,45%,$12.373,$59.123,$0.2m,N/A,,,,,,TBD,-,70%,70%,16%,,,,,69%,Early Decision only,,early_admission
Harvard University,Cambridge,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,$0,$61.676,$21.190,$86.866,Need,711,72%,$75.088,$8.362,$53.4m,Yes (Need-blind),,,,,,,,"3,7%","1,9%",84%,89%,15934,301,268,"2,70%",REarly Action Only,,early_admission
Harvey Mudd College,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,0-None,$55.000,$68.613,$22.318,$94.931,Both,30,32%,$40.250,$51.715,$1.2m,No,$10.000,Harvey S. Mudd and Esterbrook scholarships,https://www.hmc.edu/admission/afford/scholarships-and-grants/merit-based-scholarships/harvey-s-mudd-merit-award/,These are merit-based scholarships awarded to a select number of students. No separate application is required; recipients are selected based on their outstanding admission applications.,$58.613,$84.931,Automatic consideration,"13,1%","6,9%",36%,44%,986,68,30,"12,4%",Early Decision only,Yes,early_admission
Haverford College,Haverford,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,$0,$70.398,$19.170,$93.568,Need,56,36%,$85.402,$5.498,$4.8m,Yes (Need-aware),,,,,,,,"12,9%","4,7%",45%,46%,2645,123,57,"10,7%",Early Decision only,Yes,early_admission
Hawaii Pacific University,Honolulu,HI,Hawaii,Private,Hawaii,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$34.392,$21.050,$59.442,Merit,No data,,No data,,,N/A,50% tuition,YouAreWelcomeHere Scholarship Scholarship,https://www.hpu.edu/undergraduate-admissions/international/scholarships.html,"A scholarship for incoming international students. Requires a separate application, including an essay, to be submitted after receiving an offer of admission.",$17.196,$42.246,Requires application,84%,86%,4%,-,,-,,84%,Early Action Only,,early_admission
Hendrix College,Conway,AR,Arkansas,Private,South (Central),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$45.000,$38.200,$14.852,$57.052,Merit,14,67%,$46.761,,$0.7m,N/A,$15.000,Hendrix College Academic Scholarships,https://www.hendrix.edu/financialaid/scholarships/,All applicants are automatically considered for merit-based academic scholarships upon admission. No separate application is required.,$23.200,$42.052,Automatic consideration,53%,5%,20%,-,,-,,43%,Early Action Only,,early_admission
High Point University,High Point,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$75.000,$44.208,$18.462,$66.670,None,No data,,No data,,,N/A,not specified,Merit Scholarship,https://www.highpoint.edu/admissions/international-students/,A student's application for admission is also their application for merit-based scholarships. No separate application is required. Awards are based on academic achievement.,,,,77%,39%,12%,-,,-,,59%,Both,,early_admission
Hillsdale College,Hillsdale,MI,Michigan,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$15.000,$33.189,$13.600,$50.789,Both,30,100%,$36.550,$12.722,$1.1m,No,Full Tuition,Merit Scholarship and Leadership Scholarship,https://www.hillsdale.edu/admissions-aid/financial-aid/scholarships/,"The college offers hundreds of privately funded scholarships based on academic merit, leadership, and other talents. Consideration is automatic with the admission application.",$0,$17.600,Automatic consideration,21%,9%,62%,-,,-,,21%,Early Decision only,,early_admission
Hobart & William Smith Colleges,Geneva,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$64.842,$17.768,$86.610,Merit,114,99%,$55.218,$29.384,$6.3m,Yes (Need-aware),$40.000,Unspecified,https://www.hws.edu/admissions/tuition-scholarships-and-aid/merit-based-awards.aspx,"All applicants are automatically considered for Merit Scholarships (e.g., Trustee, Blackwell) at the time of admission. Some specific awards, like the Centennial Center Leadership Scholarship, require a separate application after admission.",$24.842,$46.610,Automatic consideration,"56,9%","16,7%",15%,10%,1306,218,21,"40,1%",Both,,early_admission
Hofstra University,Hempstead,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,0-None,$55.000,$57.660,$18.942,$80.602,Merit,178,79%,$30.997,$46.173,$5.5m,N/A,$28.000,Presidential Scholarship,https://www.hofstra.edu/admission/scholarship-opportunities.html,The Presidential Scholarship is the highest merit award. All first-year applicants are automatically considered based on their admission application. No separate application is needed.,$29.660,$52.602,Automatic consideration,"70,6%","7,2%",10%,30%,2196,159,48,61%,Early Action Only,,early_admission
Hollins University,Hollins,VA,Virginia,Private,Southeast,,Suburb: Midsize,<1K,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,$25.000,$42.260,$15.800,$62.060,Merit,42,100%,$36.926,$24.294,$1.6m,N/A,,,,,,TBD,-,"70,9%","13,6%",,31%,428,58,18,,Early Action Only,,early_admission
Hope College,Holland,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,4-Moderately,$30.000,$38.530,$12.450,$54.980,Merit,55,65%,$27.064,$26.786,$1.5m,N/A,$25.000,Trustee Scholarship,https://hope.edu/admissions/scholarships.html,"All international applicants are automatically considered for a merit-based scholarship upon admission. The primary considerations are academic performance, personal statement, activities, and leadership.",$13.530,$29.980,Automatic consideration,76%,,21%,,,,,76%,Early Action Only,,early_admission
Howard University,Washington,DC,Dist. of Columbia,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,10K - 20K,Coeducational,Yes,Balanced,Majority,On-campus,1-Historically,$30.000,$35.810,$17.322,$57.132,Both,456,91%,$25.047,$28.771,$11.4m,No,,,,,,TBD,-,35%,40%,21%,-,,-,,35%,Both,,early_admission
Hult International Business School,Cambridge,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Professional,Minority,Off-campus,0-None,$75.000,$56.200,$19.400,$74.200,Pending,No data,,No data,,,,,,,,,,-,54%,,22%,-,,-,,54%,Early Decision only,,early_admission
Illinois Institute of Technology,Chicago,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,0-None,$25.000,$52.386,$17.356,$73.742,Both,392,95%,$25.131,$47.160,$9.9m,No,Full Tuition,M. A. and Lila Self Leadership Academy Scholarship,https://www.iit.edu/admissions-aid/tuition-and-aid/scholarships/international-undergraduate-student-scholarships,"This is a premier scholarship program. Students are automatically reviewed for most institutional scholarships, including this one, upon application. Some top awards, like the Camras Scholarship, may require an interview.",$0,$21.356,Requires application,"55,4%","43,6%",11%,5%,2726,1188,56,44%,Both,,early_admission
Illinois Wesleyan University,Bloomington,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Small,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,$20.000,$57.704,$13.370,$75.074,Both,99,100%,$40.342,$32.292,$4.0m,No,Full Tuition,President’s Scholarship,https://www.iwu.edu/international/scholarships.html,Two full-tuition scholarships are awarded to highly qualified first-year international students. Consideration is automatic with the admission application.,$0,$17.370,Automatic consideration,45%,,16%,-,,-,-,38%,Early Action Only,,early_admission
Indiana University east,Richmond,IN,Indiana,Public,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,0-None,$35.000,$22.811,$10.972,$37.783,Merit,21,46%,$10.330,$30.713,$0.2m,N/A,,,,,,TBD,-,"71,2%","21,4%",27%,0%,14,3,0,63%,Early Action Only,,early_admission
Indiana University-Bloomington,Bloomington,IN,Indiana,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$5.000,$41.891,$13.984,$59.875,Merit,689,40%,$12.521,$45.341,$8.6m,N/A,Full ride,Wells Scholarship,https://wellsscholars.indiana.edu/nomination-process/international-high-school-seniors.html,A prestigious full-cost-of-attendance scholarship. International students must be nominated by their high school. Students can also be considered for nomination by the Office of International Services after applying for admission.,$0,$4.000,Requires nomination,"80,4%","70,6%",22%,13%,4810,3398,432,69%,Early Action Only,,early_admission
Iona University,New Rochelle,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$45.000,$47.260,$18.820,$70.080,Merit,76,87%,$45.654,,$3.5m,N/A,$25.000,President Scholarship,https://www.iona.edu/offices/student-financial-services/types-aid/scholarships-and-grants/iona-university-awards,This is the highest merit-based scholarship. Students are automatically considered with their application for admission. No separate scholarship application is necessary.,$22.260,$45.080,Automatic consideration,91%,55%,12%,-,,-,,91%,Both,,early_admission
Ithaca College,Ithaca,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Small,1K - 9K,Coeducational,No,Professional,Very High,On-campus,0-None,$25.000,$52.155,$16.192,$72.347,Both,129,98%,$46.885,$23.215,$6.0m,No,$7.000,Leadership Scholar Program,https://www.ithaca.edu/tuition-financial-aid/financial-aid-basics/scholarships/ithaca-scholarships-new-students,A specific scholarship for students with a demonstrated record of leadership. Requires a separate application in addition to the admission application. Other Merit Scholarships are awarded automatically.,$45.155,$65.347,Requires application,"69,9%","23,6%",14%,11%,1145,270,31,56%,Both,,early_admission
James Madison University,Harrisonburg,VA,Virginia,Public,Southeast,,City: Small,20K+,Coeducational,No,Balanced,Very High,On-campus,0-None,$30.000,$31.264,$12.916,$48.180,Merit,85,59%,$20.835,$26.539,$1.8m,N/A,$14.000,Dingledine-Bluestone Scholarship,https://www.jmu.edu/admissions/apply/scholarships/dingledine-bluestone.shtml,A scholarship for students from Virginia who have overcome adversity. This scholarship is not intended for international students.,$17.264,$34.180,Requires application,76%,,18%,-,,-,-,76%,Early Action Only,,early_admission
John Carroll University,University Heigh,OH,Ohio,Private,Midwest (Great Lakes),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$45.000,$50.500,$14.520,$69.020,Both,16,46%,$31.552,$35.708,$0.5m,No,$25.000,Magis Scholarship,https://www.jcu.edu/sefs/financing-jcu-education/new-first-year-sefs/new-first-year-student-scholarships-sefs,The premier merit-based scholarship. All applicants are automatically considered upon admission. No separate application is required.,$25.500,$44.020,Automatic consideration,"81,1%","17,2%",16%,3%,373,64,2,70%,Early Action Only,,early_admission
Johns Hopkins University,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,$0,$65.230,$20.150,$89.380,Both,598,71%,$12.136,$75.114,$7.3m,Yes (Need-aware),Full Tuition,Charles R. Westgate Scholarship in Engineering,https://apply.jhu.edu/tuition-aid/types-of-financial-aid/need-based-scholarships/westgate-scholarship/,A full-tuition Merit Scholarship for up to two undergraduate engineering students. No separate application is needed; consideration is automatic for all first-year engineering applicants.,$0,$24.150,Automatic consideration,"6,2%","4,9%",48%,52%,8746,427,220,"6,4%",Early Decision only,Yes,early_admission
Juniata College,Huntington,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$45.000,$58.580,$14.100,$76.680,Merit,103,94%,$37.743,$36.205,$4.0m,N/A,$25.000,Juniata Provost Scholarship,https://www.juniata.edu/academics/departments/international/international-students/financial-aid.php,This is a top merit-based scholarship for international students. Consideration is automatic when an international student applies for admission. No separate application is required.,$33.580,$51.680,Requires application,72%,,19%,-,,-,-,72%,Both,,early_admission
Kalamazoo College,Kalamazoo,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$25.000,$60.900,$12.549,$77.449,Both,45,87%,$51.121,$22.833,$2.3m,No,$44.000,Lux Esto Scholarship,https://admission.kzoo.edu/cost-value/,The premier Merit Scholarship. Awarded to top applicants based on their admission application. No separate application is required. Finalists are invited to a scholarship competition.,$16.900,$33.449,Automatic consideration,76%,38%,13%,-,,-,,65%,Both,,early_admission
Kenyon College,Gambier,OH,Ohio,Private,Midwest (Great Lakes),,Rural: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$71.520,$15.640,$91.160,Both,135,66%,$67.500,$20.240,$9.1m,Yes (Need-aware),$25.000,Kenyon Honor and Science Scholarships,https://www.kenyon.edu/admissions-aid/financial-aid-scholarships/scholarships-grants/,These are premier merit-based scholarships. All students who apply for admission are automatically considered. No separate application is needed.,$46.520,$66.160,Automatic consideration,31%,,18%,-,,-,-,"29,9%",Early Decision only,Yes,early_admission
Kettering University,Flint,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$48.470,$10.400,$62.870,Merit,32,95%,$25.237,,$0.8m,N/A,$24.000,Merit Scholarship,https://www.kettering.edu/admissions/financial-aid/financial-aid-101/scholarships,"All admitted students, including international students, are automatically considered for merit-based scholarships based on their high school GPA. No separate application is needed.",$24.470,$38.870,,79%,34%,15%,-,,-,,61%,Early Action Only,,early_admission
Knox College,Galesburg,IL,Illinois,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$30.000,$57.903,$10.728,$72.631,Both,193,99%,$44.097,$25.897,$8.5m,No,$40.000,IBDP Scholarship,https://www.knox.edu/admission/scholarships,This scholarship is specifically for graduates of the International Baccalaureate Diploma Program. Other Merit Scholarships are awarded automatically based on the admission application.,$17.903,$32.631,Automatic consideration,"71,1%","37,4%",8%,9%,1420,531,49,"65,3%",Both,,early_admission
Lafayette College,easton,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$64.648,$19.866,$88.514,Both,99,53%,$69.729,$14.735,$6.9m,Yes (Need-aware),Full Tuition,Marquis Fellowship and Marquis Scholarship,https://admissions.lafayette.edu/scholarships/,"The Marquis Fellowship is a full-tuition award, and the Marquis Scholarship is a half-tuition award. Both are renewable for up to eight semesters, provided the student maintains a 3.00 GPA. Selection is based on the academic record and personal qualities that honor the Marquis de Lafayette. No separate application required; all applicants are automatically considered upon admission. An interview is encouraged.",$0,$23.866,By invitation only,"31,5%","6,1%",22%,25%,3264,200,50,"30,4%",Early Decision only,Yes,early_admission
Lake Forest College,Lake Forest,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$10.000,$56.402,$12.700,$73.102,Both,352,100%,$62.462,$8.220,$22.0m,No,$34.000,Merit-based award,https://www.lakeforest.edu/admissions/financial-aid/financial-aid-for-international-students,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.,$22.402,$39.102,Automatic consideration,59%,,15%,-,,-,-,59%,Both,,early_admission
Lawrence University,Appleton,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$35.000,$56.982,$12.165,$73.147,Both,161,100%,$40.000,$31.299,$6.4m,No,50% tuition,Merit Scholarship,https://www.lawrence.edu/admissions-aid/aid-affordability/scholarships,"All applicants, including international students, are automatically considered for merit-based scholarships with their application for admission.",$28.491,$44.656,Automatic consideration,"63,0%","22,7%",15%,15%,1060,241,35,43%,Both,,early_admission
Le Moyne College,Syracuse,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$25.000,$40.330,$16.210,$60.540,Both,24,46%,$35.825,$22.805,$0.9m,No,,,,,,TBD,-,"75,3%","46,9%",11%,7%,688,323,21,76%,Early Action Only,,early_admission
Lehigh University,Bethlehem,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$0,$64.980,$17.220,$86.200,Both,157,36%,$64.916,$17.734,$10.2m,Yes (Need-aware),Full Tuition,Merit Scholarship,https://www.lawrence.edu/admissions-aid/aid-affordability/scholarships,"All applicants, including international students, are automatically considered for merit-based scholarships with their application for admission.",$0,$21.220,Automatic consideration,"25,3%","8,6%",28%,33%,3769,325,106,"27,0%",Early Decision only,Yes,early_admission
Lewis & Clark College,Portland,OR,Oregon,Private,West Coast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Majority,Off-campus,1-Historically,$20.000,$64.828,$15.648,$84.476,Merit,111,100%,$47.204,$34.148,$5.2m,No,Full Tuition,Merit-Based Scholarship,https://www.lclark.edu/offices/financial_aid/undergrad/scholarships/merit/,"All applicants are automatically considered for Merit Scholarships based on academic achievement, leadership, and other talents demonstrated in their admission application. No separate application needed.",$0,$19.648,,"74,5%","34,1%",12%,19%,575,196,38,"66,1%",Both,,early_admission
Linfield University,McMinnville,OR,Oregon,Private,West Coast,,Town: Distant,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,2-Slightly,$45.000,$50.780,$14.640,$69.420,Both,8,100%,$24.035,$43.555,$0.2m,No,not specified,Merit Scholarship,https://www.linfield.edu/financial-aid/financial-aid-policies/linfield-scholarships.html,All accepted students are Automatically Awardarded a Merit Scholarship based on their academic record. No separate application is required.,,,Automatic consideration,"87,9%","24,6%",20%,0%,57,14,0,"81,6%",Early Action Only,,early_admission
