;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Dickinson College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;0;0;Yes;;SR;;N;See Website;See Website;1;;Y;Y;
Dominican University (IL);Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;;
Dominican University New York;Coed;;;;;;Rolling;40;40;;;;;S;SAT without Essay or ACT without Essay;;;;Y;;Y
Dominican University of California;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Drake University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Drew University;Coed;11/1/2024;1/15/2025;12/1/2024;;;2025-02-01;40;40;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
Drexel University;Coed;11/1/2024;;11/1/2024;;;2025-01-15;65;65;Yes;;COL;Yes;S;See Website;C or D or I or T;1;;;Y;Y
Drury University;Coed;;;10/15/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Duke Kunshan University;Coed;11/4/2024;;;;;2025-01-02;0;0;Yes;;;;F;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;Y
Duke University;Coed;11/4/2024;;;;;2025-01-02;85;85;Yes;;SR;;N;See Website;See Website;2;;Y;Y;Y
Duquesne University;Coed;;;11/15/2024;;;2025-01-15;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Earlham College;Coed;;;11/1/2024;12/1/2024;;2025-04-01;0;0;Yes;;;;N;None;See Website;1;;Y;;Y
East Carolina University;Coed;;;;;;Rolling;75;75;Yes;;;;S;See Website;See Website;;;;;Y
East Central University;Coed;;;;;;Rolling;20;75;;;;;F;SAT without Essay or ACT without Essay;I or T or P;;;;;
East Stroudsburg University of Pennsylvania;Coed;;;;;;Rolling;25;25;;;;;N;See Website;See Website;;;;;
Eastern Connecticut State University;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;N;See Website;C or D or I or T;1;;;;
Eastern Illinois University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Eastern Mennonite University;Coed;;;;;;Rolling;0;50;;;;;N;None;;;;;;Y
Eastern Michigan University;Coed;;;;;;Rolling;35;35;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Eastern Oregon University;Coed;;;;;;2025-07-30;50;90;;;;;N;None;;;;;;
Eastern Washington University;Coed;;;;;;2025-02-01;60;60;;;;;N;None;See Website;;;;;
Eckerd College;Coed;;;11/15/2024;;;Rolling;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;;;;Y;Y;Y
Edinburgh Napier University;Coed;;;;;;Rolling;30;30;;Yes;;;A;See Website;See Website;1;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
EHL Hospitality Business School;Coed;;;;;;Rolling;180;180;;;;;S;See Website;;;;Y;;Y
Elim Bible Institute and College;Coed;;;;;;2025-07-29;0;0;;;;;F;SAT without Essay or ACT without Essay;;;;;;
Elizabeth City State University;Coed;;;;;;Rolling;0;0;;Yes;;;N;None;See Website;;;Y;;
Elizabethtown College;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;Y;
Elmhurst University;Coed;;;11/1/2024;;;Rolling;0;0;Yes;;;;S;See Website;See Website;;;;;
Elms College;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
Elon University;Coed;11/1/2024;;11/1/2024;;;1/10/2025;60;60;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;
Emerson College;Coed;11/1/2024;1/3/2025;11/1/2024;;;2025-01-15;65;0;Yes;;;Yes;N;See Website;See Website;1;;;Y;Y
Emmanuel College (MA);Coed;11/1/2024;;11/1/2024;12/15/2024;;2025-02-15;0;0;Yes;;;;N;None;See Website;1;;Y;Y;Y
Emory & Henry University;Coed;;;11/15/2024;1/15/2025;;2025-07-25;0;50;;;;;F;See Website;;;;;;Y
Emory University;Coed;11/1/2024;1/1/2025;;;;2025-01-01;75;75;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
Esade Barcelona;Coed;;;;;;2025-07-28;135;135;;;;;A;See Website;See Website;;;Y;;
ESCP Business School;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;C or I;;;Y;;Y
Eureka College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Evangel University;Coed;;;11/15/2024;;;Rolling;0;0;;;;;S;See Website;I or T;;;;;
Fairfield University;Coed;11/15/2024;1/15/2025;11/1/2024;;;2025-01-15;60;60;Yes;;;;N;See Website;See Website;;;;Y;Y
Fairleigh Dickinson University;Coed;;;;;;Rolling;0;50;;;;;N;None;See Website;;;;;Y
Felician University;Coed;;;;;;Rolling;30;30;;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Ferris State University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;T;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Ferrum College;Coed;;;;;;Rolling;0;0;;;;;S;None;See Website;;;;;
Fisk University;Coed;;;11/1/2024;2/1/2025;;2025-07-15;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Fitchburg State University;Coed;;;;;;Rolling;35;35;;;;;N;None;;;;;;
Flagler College;Coed;11/1/2024;;;;;2025-03-01;50;50;Yes;;;;N;None;;;;;Y;Y
Florida Agricultural & Mechanical University (FAMU);Coed;;;11/1/2024;;;Rolling;35;35;Yes;;;;A;SAT without Essay or ACT without Essay;See Website;1;;;;Y
Florida Atlantic University;Coed;;;11/1/2024;;;Rolling;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
Florida Gulf Coast University;Coed;;;11/1/2024;;;2025-03-01;30;30;Yes;;;;A;SAT without Essay or ACT without Essay;;;;;;Y
Florida Institute of Technology;Coed;;;;;;Rolling;0;0;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;Y
Florida International University;Coed;;;11/1/2024;;;2025-02-25;30;30;;;;;A;SAT without Essay or ACT without Essay;;;;;;
Florida Memorial University;Coed;;;11/1/2024;;;Rolling;0;0;;;;;F;None;;;;;;
Florida Polytechnic University;Coed;;;11/15/2024;1/15/2025;;2025-03-01;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
Florida Southern College;Coed;11/1/2024;;11/1/2024;;;2025-03-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Florida State University;Coed;;;11/1/2024;;;2024-12-01;30;30;Yes;;;;A;See Website;See Website;;;;;
Fordham University;Coed;11/8/2024;1/24/2025;11/8/2024;;;2025-01-24;75;75;Yes;;;;N;See Website;See Website;;;Y;Y;Y
Fort Lewis College;Coed;;;11/15/2024;;;2025-05-01;40;40;;;;;N;None;See Website;;;;;
Framingham State University;Coed;;;11/15/2024;;;2025-02-15;50;50;;;;Yes;N;None;See Website;;;;;Y
Franciscan Missionaries of Our Lady University (FranU);Coed;;;11/1/2024;;;Rolling;0;0;;;;;N;See Website;See Website;;;;;
Franklin & Marshall College;Coed;11/15/2024;1/6/2025;;;;1/6/2025;60;60;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;Y
Franklin College;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Franklin Pierce University;Coed;;;;;;Rolling;0;0;;;;;N;See Website;I or T or P;1;;;Y;Y
Franklin University Switzerland;Coed;;;12/1/2024;;;Rolling;90;90;Yes;;;;F;SAT without Essay or ACT without Essay;;1;;Y;Y;Y
Franklin W. Olin College of Engineering;Coed;;;;;;2025-01-02;85;85;Yes;;;;N;None;See Website;2;;;Y;
Fresno Pacific University;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
Frostburg State University;Coed;;;11/15/2024;;;2025-07-28;45;45;;;;;F;See Website;See Website;;;;;Y
Furman University;Coed;11/1/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;;;;N;See Website;See Website;;;;;
Gannon University;Coed;;;;;;Rolling;0;0;Yes;;;;S;See Website;See Website;1;;;Y;Y
Gardner-Webb University;Coed;;;;;;Rolling;0;0;;Yes;;;S;SAT without Essay or ACT without Essay;;;;;;
Generations College;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;;
Geneva College;Coed;;;;;;Rolling;45;45;;;;;S;See Website;See Website;1;;;;
George Fox University;Coed;;;;;;Rolling;0;40;;;;;N;None;See Website;;;;;Y
George Mason University;Coed;;;11/1/2024;;;2025-02-01;70;80;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Georgetown College;Coed;;;;;;Rolling;0;0;;;;;S;None;;;;;;
Georgia College & State University;Coed;;;10/15/2024;;;Rolling;50;50;;;;Yes;A;SAT without Essay or ACT without Essay;See Website;;;;;Y
Georgia Institute of Technology;Coed;;;10/15/2024;11/1/2024;;2025-01-06;75;85;Yes;;;;A;See Website;See Website;;;Y;;Y
Georgia Southern University;Coed;;;;;;Rolling;30;30;;;;;S;See Website;See Website;;;Y;;
Georgia State University;Coed;;;11/15/2024;;;2025-04-01;60;60;;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;Y;;Y
Georgian Court University;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;1;;;Y;Y
Gettysburg College;Coed;11/15/2024;1/15/2025;12/1/2024;;;2025-01-15;60;0;Yes;;;;F;SAT without Essay or ACT without Essay;;1;;Y;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Goldey-Beacom College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Gonzaga University;Coed;;;11/15/2024;;;2025-02-01;60;60;Yes;;;;N;None;See Website;1;;Y;;
Gordon College;Coed;;;11/1/2024;12/1/2024;;2025-02-01;0;0;;;;;N;None;See Website;;;;;Y
Goshen College;Coed;;;;;;Rolling;0;0;;Yes;;;N;None;;;;Y;;Y
Goucher College;Coed;;;11/15/2024;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;;Y
Governors State University;Coed;;;11/15/2024;;;Rolling;0;0;;;;;I;None;See Website;;;;;
Grace College;Coed;;;;;;Rolling;0;0;;;;;S;None;;;;;;Y
Graceland University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Grand Valley State University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Greensboro College;Coed;;;;;;2025-07-28;0;0;Yes;;;;N;None;;;;;;
Greenville University;Coed;;;;;;2025-07-30;0;0;;;;;N;None;See Website;;;;;
Grinnell College;Coed;11/15/2024;1/5/2025;;;;2025-01-15;0;0;Yes;;;;S;See Website;See Website;2;;Y;Y;
Gustavus Adolphus College;Coed;;;11/1/2024;;;Rolling;0;50;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;;
Gwynedd Mercy University;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;1;;;;Y
Hamilton College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;65;65;Yes;;;;N;See Website;See Website;1;;Y;Y;
Hamline University (MN);Coed;;;11/1/2024;;;2025-01-15;0;0;;;;;N;See Website;See Website;;;;;
Hampden-Sydney College;Men;11/1/2024;;10/15/2024;12/1/2024;;2025-01-15;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;1;;Y;Y;
Hampshire College;Coed;11/15/2024;1/1/2025;12/1/2024;;;2025-01-15;0;0;Yes;;;;I;See Website;;1;;Y;Y;Y
Hampton University;Coed;;;11/15/2024;;;2025-03-01;60;60;Yes;Yes;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Hanover College;Coed;;;11/1/2024;12/15/2024;;2025-02-01;0;60;;;;;F;See Website;See Website;;;;;Y
Harcum College;Coed;;;;;;Rolling;0;0;;;;;F;See Website;;;;;;Y
Hardin-Simmons University;Coed;;;;;;Rolling;0;75;;;;;F;See Website;;;;;;
Harrisburg University of Science and Technology;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Hartwick College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Harvard University;Coed;;;;;11/1/2024;2025-01-01;85;85;Yes;;SR;;A;See Website;See Website;2;;Y;Y;Y
Harvey Mudd College;Coed;11/15/2024;1/5/2025;;;;2025-01-05;70;70;Yes;;;;N;None;;2;;Y;;
Hastings College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Haverford College;Coed;11/15/2024;1/5/2025;;;;2025-01-10;65;65;Yes;;SR;Yes;N;None;;2;;Y;Y;Y
Hawaii Pacific University;Coed;;;11/15/2024;;;2025-01-15;45;45;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
Heidelberg University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Hellenic College;Coed;;;;;;Rolling;0;0;Yes;;;;N;See Website;See Website;1;;;;Y
Hendrix College;Coed;;;11/15/2024;2/1/2025;;2025-03-01;0;0;Yes;;;;N;None;C or D or I or T;;;;;Y
High Point University;Coed;11/1/2024;2/1/2025;11/15/2024;;;2025-03-01;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Hillsdale College;Coed;11/1/2024;;;;;2025-03-15;0;0;Yes;;;;N;See Website;See Website;;;;;Y
Hiram College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Hobart and William Smith Colleges;Coed;11/15/2024;1/15/2025;11/15/2024;;;2025-03-01;0;0;Yes;;;;N;See Website;;;;Y;Y;Y
Hofstra University;Coed;;;11/15/2024;12/15/2024;;Rolling;70;75;Yes;;;Yes;S;SAT without Essay or ACT without Essay;T;1;;Y;;Y
Hollins University;Women;11/1/2024;1/3/2025;11/1/2024;;;2025-02-01;0;0;;;;;F;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Holy Cross College;Coed;;;11/1/2024;;;2025-02-15;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Hood College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Hope College;Coed;;;11/1/2024;;;Rolling;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Houghton University;Coed;;;;;;Rolling;0;0;Yes;;;;N;See Website;;;;;;Y
Houston Christian University;Coed;;;;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;Y
Howard University;Coed;11/1/2024;;11/1/2024;;;2025-02-01;45;45;Yes;;SR;;N;See Website;See Website;1;;;Y;Y
Hult International Business School – U.S. & U.K.;Coed;;;12/15/2024;;;2025-03-01;95;95;Yes;;;;N;See Website;See Website;1;;Y;Y;Y
Huntington University;Coed;;;;;;Rolling;0;0;;;;;F;None;;;;;;
Husson University;Coed;;;;;;Rolling;40;0;Yes;;;;N;None;See Website;;;;Y;
ICN Business School;Coed;;;;;;Rolling;50;50;;;;;A;See Website;C or D or I or T;;;Y;;
IE University - Madrid Campus and Segovia Campus;Coed;;;;;;Rolling;140;140;Yes;;;;A;See Website;;1;;Y;Y;Y
Illinois College;Coed;;;12/1/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Illinois Institute of Technology;Coed;11/1/2024;;11/15/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Illinois State University;Coed;;;11/1/2024;;;Rolling;55;55;;;;;S;See Website;See Website;;;;;
Illinois Wesleyan University;Coed;;;11/15/2024;;;2025-03-15;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
Immaculata University;Coed;;;;;;Rolling;0;0;;;;Yes;N;See Website;;;;;;Y
Indiana State University;Coed;;;;;;Rolling;25;65;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Indiana Tech;Coed;;;;;;Rolling;0;0;;;;;F;None;See Website;;;;;
Indiana University Bloomington;Coed;;;11/1/2024;;;2025-02-01;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Indiana University Indianapolis;Coed;;;;;;Rolling;65;65;;;;;N;None;See Website;;;;;Y
Indiana University Northwest;Coed;;;;;;Rolling;15;65;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Indiana Wesleyan University (Marion);Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;Y;;Y
Inter American University of Puerto Rico;Coordinate;;;;;;2025-05-31;0;0;;;;;A;See Website;See Website;;;;;
Iona University;Coed;12/1/2024;;12/15/2024;1/15/2025;;2025-02-15;50;50;Yes;;;;N;None;I or T;1;;Y;Y;Y
Iowa State University;Coed;;;;;;Rolling;55;65;;;;;F;See Website;See Website;;;;;Y
Ithaca College;Coed;11/15/2024;;12/15/2024;;;2025-02-01;60;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;Y;Y;
Jack Kent Cooke Foundation;Coed;;;;;;2024-11-14;0;0;Yes;Yes;;;I;None;See Website;2;;;Y;Y
Jackson State University;Coed;;;;;;Rolling;25;25;;;;;N;None;I or T;;;;;
Jacksonville University;Coed;;;;;;Rolling;30;30;;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;Y
James Madison University;Coed;;;11/1/2024;;;2025-01-15;70;70;;;SR;;N;None;See Website;;;;;Y
John Cabot University in Rome;Coed;;;11/15/2024;;;2025-03-01;50;50;Yes;;;;F;See Website;See Website;2;;;;Y
John Carroll University;Coed;;;11/1/2024;;;Rolling;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;;Y;Y
Johns Hopkins University;Coed;11/1/2024;1/2/2025;;;;2025-01-02;70;70;Yes;;;Yes;F;See Website;See Website;2;;Y;Y;Y
Johnson & Wales University-Charlotte;Coed;;;11/17/2024;1/15/2025;;2025-07-15;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Johnson & Wales University-Providence;Coed;;;11/17/2024;1/15/2025;;2025-07-15;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Johnson C Smith University;Coed;;;;;;Rolling;25;25;;;;;S;SAT with Essay or ACT with Essay;See Website;;;;;
Juniata College;Coed;11/15/2024;;12/1/2024;1/15/2025;;2025-03-15;0;50;Yes;;;;N;See Website;See Website;1;;;Y;Y
Kansas City Art Institute;Coed;;;12/1/2024;;;2025-02-01;0;0;;;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Kansas State University;Coed;;;;;;Rolling;40;80;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Kean University;Coed;;;1/1/2025;;;Rolling;75;75;;;;;N;None;See Website;;;;;Y
Keene State College;Coed;;;;;;Rolling;0;0;Yes;;;;N;None;See Website;;;;Y;
Keiser University Flagship Campus - West Palm Beach Florida;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;;;;;;Y
Kennesaw State University;Coed;;;;;;Rolling;40;40;;;SR;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Kent State University;Coed;;;;;;Rolling;50;70;;;;;N;None;See Website;;;;;Y
Kentucky Wesleyan College;Coed;;;;;;Rolling;0;0;;;;;F;See Website;;;;;;
Kenyon College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;0;0;Yes;;;;N;None;;1;;Y;Y;
Kettering University;Coed;;;11/15/2024;;;Rolling;0;0;Yes;;;;N;See Website;See Website;;;;;
Keuka College;Coed;;;;;;Rolling;0;0;;;;;N;See Website;See Website;;;Y;;
Keystone College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Knox College;Coed;;;11/1/2024;12/1/2024;;2025-04-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;1;;Y;;
Kutztown University of Pennsylvania;Coed;;;;;;Rolling;35;35;;;;;F;See Website;See Website;;;;;Y
La Roche University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;
La Salle University;Coed;;;11/1/2024;;;Rolling;0;0;Yes;;;;N;None;See Website;1;;;Y;Y
Lafayette College;Coed;11/15/2024;1/15/2025;;;;2025-01-15;65;65;Yes;;COL;;N;None;See Website;1;;Y;Y;
Lake Erie College;Coed;;;11/20/2024;;;Rolling;0;0;;;;Yes;S;See Website;T;;;;;Y
Lake Forest College;Coed;11/1/2024;1/15/2025;11/1/2024;1/15/2025;;2025-02-15;0;0;Yes;;;;F;See Website;;1;;;;
Lake Superior State University;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Landmark College;Coed;;;;;;Rolling;0;0;;;COL;Yes;S;SAT without Essay or ACT without Essay;See Website;1;;;;Y
Lasell University;Coed;;;12/15/2024;;;Rolling;0;0;Yes;;;;N;None;;;;;Y;Y
Lawrence Technological University;Coed;;;;;;Rolling;50;50;;;;;N;None;;;;Y;;Y
Lawrence University;Coed;11/1/2024;;11/1/2024;12/1/2024;;2025-01-15;0;0;Yes;;;;N;See Website;See Website;1;;;Y;Y
Le Moyne College;Coed;;;11/15/2024;;;Rolling;0;0;Yes;;;;N;None;;;;;Y;Y
Lebanese American University - LAU;Coed;;;;;;2025-01-31;50;50;;;;;S;See Website;;;;;;
Lebanon Valley College;Coed;;;11/1/2024;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Lees-McRae College;Coed;;;12/15/2024;;;2025-05-01;25;25;;;;;N;None;;;;;;Y
Lehigh University;Coed;11/1/2024;1/1/2025;;;;2025-01-01;75;75;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
Lenoir-Rhyne University;Coed;;;;;;Rolling;0;0;;;;;S;None;T;;;;;
Lesley University;Coed;;;12/1/2024;;;Rolling;0;0;Yes;;SR;;N;See Website;See Website;1;;;;Y
Lewis & Clark College;Coed;11/1/2024;;11/1/2024;;;2025-01-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;;
Lewis University;Coed;;;12/1/2024;;;2025-03-01;0;0;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
Liberty University;Coed;;;;;;2025-07-29;0;0;;;;;N;See Website;;;;;;
Life University;Coed;;;;;;2025-06-07;0;0;;Yes;;;F;See Website;See Website;;;;;
Limestone University;Coed;;;;;;2025-07-29;0;0;;;;;S;See Website;;;;;;
Lincoln Memorial University;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Lincoln University of Pennsylvania;Coed;;;2/1/2025;;;Rolling;0;0;;Yes;;;F;SAT without Essay or ACT without Essay;T;;;;;Y
Lindenwood University;Coed;;;;;;Rolling;0;0;;;;;F;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Linfield University;Coed;;;11/1/2024;;;2025-02-01;0;0;Yes;;;;N;None;See Website;;;Y;;Y
Lipscomb University;Coed;;;;;;Rolling;50;50;;;;;S;See Website;;1;;;Y;Y
List College The Jewish Theological Seminary;Coed;11/1/2024;1/2/2025;1/2/2025;;;2025-02-03;65;65;Yes;;;Yes;N;None;;2;;Y;Y;Y
Long Island University;Coed;11/15/2024;;12/15/2024;;;Rolling;50;50;;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;;;
Longwood University;Coed;11/1/2024;;12/1/2024;;;2025-02-01;50;50;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Loras College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Louisiana State University A&M-Baton Rouge;Coed;;;;;;Rolling;50;50;;;;;F;SAT without Essay or ACT without Essay;;1;;;;Y
